EAN;Título;Autor;Editorial;Ejemplares;PVP;Precio liquidación;Valor total;Hecho
'9788412520514;EL ASEDIO ANIMAL;LONDOÑO LÓPEZ, VANESSA;ALMADIA ALJOSAN S.R.L.U.;3;15,95;15,15;47,85;
'9788412520507;LA MIRADA DE LAS PLANTAS;PAZ SOLDÁN ÁVILA, JOSÉ EDMUNDO;ALMADIA ALJOSAN S.R.L.U.;2;20,95;19,90;41,90;
'9788412690026;GENÉTICA DE LOS MONOS;RAMÍREZ HERRERA, MARÍA JOSÉ;ALMADIA ALJOSAN S.R.L.U.;2;20,90;19,85;41,80;
'9788412690057;TROIKA;ZAPATA MORALES, ISABEL;ALMADIA ALJOSAN S.R.L.U.;2;19,90;18,90;39,80;
'9788412600360;ISLA PARTIDA;TARAZONA, DANIELA;ALMADIA ALJOSAN S.R.L.U.;2;19,00;18,05;38,00;
'9788412852714;FUTUROS DISTÓPICOS;VARIOS AUTORES;ALMADIA ALJOSAN S.R.L.U.;2;19,00;18,05;38,00;
'9791399109726;LAS VIDAS DE ELENA;MARIA FASCE;ALMADIA ALJOSAN S.R.L.U.;2;18,90;17,95;37,80;
'9788412520521;ANSIBLES, PERFILADORES Y OTRAS MÁQUINAS DE INGENIO;CHAPELA SAAVEDRA, ANDREA DE LOURDES;ALMADIA ALJOSAN S.R.L.U.;2;18,00;17,10;36,00;
'9788412600346;NO FUE PENALTI;VILLORO, JUAN;ALMADIA ALJOSAN S.R.L.U.;2;12,00;11,40;24,00;
'9788412852745;DEAMBULAR OTRA VEZ;"VILLALOBOS, JUAN PABLO; RIVERA GARZA, CRISTINA; ALMADA, SELVA";ALMADIA ALJOSAN S.R.L.U.;2;9,00;8,55;18,00;
'9789492260604;LA DESTRUCCIÓN POR EL SONETO;JORGE BRIOSO;ALMENARA;5;36,00;34,20;180,00;
'9788418481451;LO QUE SÉ DE NOSOTROS;ITURRIZA MENDIA, AITOR;ALTAMAREA EDICIONES;2;19,90;18,90;39,80;
'9788418481642;ENCUENTRO EN BERLÍN, MUERTE EN UCRANIA;RIBAS, PEPE;ALTAMAREA EDICIONES;2;19,90;18,90;39,80;
'9788419583437;ARTISTAS DE LA SUPERVIVENCIA;ENZENSBERGER, HANS MAGNUS;ALTAMAREA EDICIONES;2;19,90;18,90;39,80;
'9788418481055;LA HERENCIA DE CARLOTA;CLAVERÍA LAGUARDA, CARLOS;ALTAMAREA EDICIONES;2;18,90;17,95;37,80;
'9788418481703;AVERNO VERANO;ESPINOSA, BÁRBARA;ALTAMAREA EDICIONES;2;18,90;17,95;37,80;
'9788419583246;NO DESEARÁS LA MUERTE EN VENECIA;CLAVERÍA LAGUARDA, CARLOS;ALTAMAREA EDICIONES;2;18,90;17,95;37,80;
'9788419583468;TRISTE, SOLITARIO Y FINAL;SORIANO, OSVALDO;ALTAMAREA EDICIONES;2;18,90;17,95;37,80;
'9788419583659;PASOLINI SEGÚN PASOLINI;PASOLINI, PIER PAOLO;ALTAMAREA EDICIONES;2;18,90;17,95;37,80;
'9788419583123;MUCHACHAS SICILIANAS;MESSINA, MARÍA;ALTAMAREA EDICIONES;2;17,90;17,00;35,80;
'9788419583512;LA AVENTURA DE ESCRIBIR NOVELAS;CERCAS, JAVIER;ALTAMAREA EDICIONES;2;17,90;17,00;35,80;
'9788419583536;LA TERNURA;DUCAY, PAULA;ALTAMAREA EDICIONES;2;17,90;17,00;35,80;
'9788418481291;EL ANTIMONIO;SCIASCIA, LEONARDO;ALTAMAREA EDICIONES;2;16,90;16,05;33,80;
'9788494833526;LA PLAYA;PAVESE, CESARE;ALTAMAREA EDICIONES;2;16,90;16,05;33,80;
'9788419583482;NOSOTROS, REFUGIADOS;ARENDT, HANNAH;ALTAMAREA EDICIONES;2;11,90;11,30;23,80;
'9788466795210;OLIVER TWIST;DICKENS, CHARLES;ANAYA ELE;2;16,95;16,10;33,90;
'9788466747486;20 MIL LEGUAS VIAJE SUBM;VERNE, JULES;ANAYA ELE;2;14,50;13,77;29,00;
'9788466751735;ROMEO Y JULIETA;SHAKESPEARE, WILLIAM;ANAYA ELE;2;14,50;13,77;29,00;
'9788466763059;TOM SAWYER;TWAIN, MARK;ANAYA ELE;2;14,50;13,77;29,00;
'9788466745284;LAS AVENTUR DE TOM SAWYE;TWAIN, MARK;ANAYA ELE;2;13,95;13,25;27,90;
'9788466753531;EN BOSQUE DE HOJA CADUCA;MOURE, GONZALO;ANAYA ELE;2;13,95;13,25;27,90;
'9788466793155;MUJERCITAS;ALCOTT, LOUISA MAY;ANAYA ELE;2;13,50;12,82;27,00;
'9788466795203;EL LIBRO DE LA SELVA;KIPLING, RUDYARD;ANAYA ELE;2;12,95;12,30;25,90;
'9788466795401;ÁGATA Y LOS ESPEJOS MENT;MASINI, BEATRICE;ANAYA ELE;2;5,95;5,65;11,90;
'9788466795418;NIÑA DE LOS PIES GRANDES;MASINI, BEATRICE;ANAYA ELE;2;5,95;5,65;11,90;
