EAN;Título;Autor;Editorial;Stk. Total;Stock eur;PVP
9788494591655;EUROPA;BARGELD, BLIXA;HURTADO Y ORTEGA EDITORES;2;28,00;14,00
9788418733093;EL SETO DE LAS ZARZAS. ¡MONTAÑA ARRIBA!;BARKLEM, JILL;BLACKIE BOOKS;1;12,90;12,90
9788418733406;EL SETO DE LAS ZARZAS. LA ESCALERA SECRETA;BARKLEM, JILL;BLACKIE BOOKS;1;12,90;12,90
9788418733666;EL SETO DE LAS ZARZAS. LA GRAN SORPRESA;BARKLEM, JILL;BLACKIE BOOKS;2;25,80;12,90
9788418733642;EL SETO DE LAS ZARZAS. CUENTO DE MAR;BARKLEM, JILL;BLACKIE BOOKS;2;25,80;12,90
9788433927170;LORO DE FLAUBERT, EL - CM;BARNES, JULIAN;EDITORIAL ANAGRAMA;2;25,80;12,90
9788433948915;DESPEDIDAS;BARNES, JULIAN;EDITORIAL ANAGRAMA;2;39,80;19,90
9788420609171;EMPATÍA CERO;BARON-COHEN, SIMON;ALIANZA EDITORIAL;1;23,95;23,95
9788412852752;RITUALES PARA LA AMISTAD;"BARRERA, JAZMINA; LICEAGA,";ALMADIA ALJOSAN S.R.L.U.;1;12,00;12,00
9788414336892;PETER PAN;BARRIE, J. M.;ANAYA INFANTIL Y JUVENIL;2;27,90;13,95
9788469847152;PETER PAN;BARRIE, JAMES MATTHEW;ANAYA INFANTIL Y JUVENIL;1;9,95;9,95
9788412582086;EL HORIZONTE DEL GRITO;BARRIENTOS, MAXIMILIANO;LAVA;1;21,90;21,90
9788416291045;DESAPARICION DEL PAISAJE,LA;BARRIENTOS,MAXIMILIANO;PERIFÉRICA;1;18,75;18,75
9788492865338;FOTOS TUYAS CUANDO EMPIEZAS A ENVEJECER;BARRIENTOS,MAXIMILIANO;PERIFÉRICA;1;16,50;16,50
9788491810230;DÍAS SIN FINAL (ADN);BARRY, SEBASTIAN;ALIANZA EDITORIAL;1;17,95;17,95
9788418504389;NO ERA A ESTO A LO QUE VENIAMOS 4ªED;BASTAROS, MARIA;CANDAYA,S.L;1;17,00;17,00
9788469847985;EL MAGO DE OZ;BAUM, L. FRANK;ANAYA INFANTIL Y JUVENIL;2;27,90;13,95
9788410206359;MARAVILLOSO MAGO DE OZ, EL;BAUM, L. FRANK;EDITORIAL ALMA;1;15,95;15,95
9788419119667;TRIBU VERTICAL,LA;BAUZA, BORJA;LIBROS DEL K.O;1;23,90;23,90
